param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
0.8,0.20000000000000018,0.40000000000000013,16.142235740858226,0.9491860870865353
0.8,0.20000000000000018,0.6000000000000001,16.142240172759244,0.9491860870865353
0.8,0.20000000000000018,0.8,16.142244543485774,0.9491860870865353
0.8,0.20000000000000018,1.0,16.14224885270222,0.9491860870865353
0.6000000000000001,-0.6,-1.0,16.142360347364168,0.9491860870865353
0.6000000000000001,-0.6,-0.8,16.142366069954406,0.9491860870865353
0.6000000000000001,-0.6,-0.6,16.142371734711876,0.9491860870865353
0.6000000000000001,-0.6,-0.3999999999999999,16.142377341270375,0.9491860870865353
0.6000000000000001,-0.6,-0.19999999999999996,16.14238288926568,0.9491860870865353
0.6000000000000001,-0.6,0.0,16.14238837833578,0.9491860870865353
0.6000000000000001,-0.6,0.20000000000000018,16.142393808120787,0.9491860870865353
0.6000000000000001,-0.6,0.40000000000000013,16.14239917826293,0.9491860870865353
0.6000000000000001,-0.6,0.6000000000000001,16.142404488406687,0.9491860870865353
0.6000000000000001,-0.6,0.8,16.142409738198754,0.9491860870865353
0.6000000000000001,-0.6,1.0,16.14241492728796,0.9491860870865353
0.8,0.40000000000000013,-1.0,16.142643891877736,0.9491860870865353
0.8,0.40000000000000013,-0.8,16.142648650760204,0.9491860870865353
0.8,0.40000000000000013,-0.6,16.142653350607166,0.9491860870865353
0.8,0.40000000000000013,-0.3999999999999999,16.142657991069747,0.9491860870865353
0.8,0.40000000000000013,-0.19999999999999996,16.142662571801313,0.9491860870865353
0.8,0.40000000000000013,0.0,16.142667092457415,0.9491860870865353
0.8,0.40000000000000013,0.20000000000000018,16.142671552695635,0.9491860870865353
0.8,0.40000000000000013,0.40000000000000013,16.142675952175903,0.9491860870865353
0.8,0.40000000000000013,0.6000000000000001,16.14268029056033,0.9491860870865353
0.8,0.40000000000000013,0.8,16.14268456751324,0.9491860870865353
0.8,0.40000000000000013,1.0,16.1426887827013,0.9491860870865353
0.6000000000000001,-0.3999999999999999,-1.0,16.142794970142667,0.9491860870865353
0.6000000000000001,-0.3999999999999999,-0.8,16.14280060289109,0.9491860870865353
0.6000000000000001,-0.3999999999999999,-0.6,16.142806177532687,0.9491860870865353
0.6000000000000001,-0.3999999999999999,-0.3999999999999999,16.14281169370336,0.9491860870865353
0.6000000000000001,-0.3999999999999999,-0.19999999999999996,16.14281715104108,0.9491860870865353
0.6000000000000001,-0.3999999999999999,0.0,16.142822549185915,0.9491860870865353
0.6000000000000001,-0.3999999999999999,0.20000000000000018,16.142827887780104,0.9491860870865353
0.6000000000000001,-0.3999999999999999,0.40000000000000013,16.14283316646807,0.9491860870865353
0.6000000000000001,-0.3999999999999999,0.6000000000000001,16.142838384896415,0.9491860870865353
0.6000000000000001,-0.3999999999999999,0.8,16.14284354271395,0.9491860870865353
0.6000000000000001,-0.3999999999999999,1.0,16.142848639571685,0.9491860870865353
0.8,0.6000000000000001,-1.0,16.143086297864144,0.9491860870865353
0.8,0.6000000000000001,-0.8,16.143090964856032,0.9491860870865353
0.8,0.6000000000000001,-0.6,16.143095572540883,0.9491860870865353
0.8,0.6000000000000001,-0.3999999999999999,16.143100120572004,0.9491860870865353
0.8,0.6000000000000001,-0.19999999999999996,16.143104608604943,0.9491860870865353
0.8,0.6000000000000001,0.0,16.14310903629724,0.9491860870865353
0.8,0.6000000000000001,0.20000000000000018,16.14311340330872,0.9491860870865353
0.8,0.6000000000000001,0.40000000000000013,16.14311770930145,0.9491860870865353
0.8,0.6000000000000001,0.6000000000000001,16.143121953939662,0.9491860870865353
0.8,0.6000000000000001,0.8,16.143126136889833,0.9491860870865353
0.8,0.6000000000000001,1.0,16.143130257820825,0.9491860870865353
0.6000000000000001,-0.19999999999999996,-1.0,16.143231147211434,0.9491860870865353
0.6000000000000001,-0.19999999999999996,-0.8,16.14323668988033,0.9491860870865353
0.6000000000000001,-0.19999999999999996,-0.6,16.143242174168822,0.9491860870865353
0.6000000000000001,-0.19999999999999996,-0.3999999999999999,16.14324759971496,0.9491860870865353
0.6000000000000001,-0.19999999999999996,-0.19999999999999996,16.14325296615884,0.9491860870865353
0.6000000000000001,-0.19999999999999996,0.0,16.143258273142617,0.9491860870865353
0.6000000000000001,-0.19999999999999996,0.20000000000000018,16.14326352031072,0.9491860870865353
0.6000000000000001,-0.19999999999999996,0.40000000000000013,16.14326870730971,0.9491860870865353
0.6000000000000001,-0.19999999999999996,0.6000000000000001,16.143273833788324,0.9491860870865353
0.6000000000000001,-0.19999999999999996,0.8,16.1432788993975,0.9491860870865353
0.6000000000000001,-0.19999999999999996,1.0,16.14328390379044,0.9491860870865353
0.40000000000000013,-1.0,-1.0,16.143413487157044,0.9491860870865353
0.40000000000000013,-1.0,-0.8,16.143419900392487,0.9491860870865353
0.40000000000000013,-1.0,-0.6,16.14342625621014,0.9491860870865353
0.40000000000000013,-1.0,-0.3999999999999999,16.14343255423274,0.9491860870865353
0.40000000000000013,-1.0,-0.19999999999999996,16.143438794084997,0.9491860870865353
0.40000000000000013,-1.0,0.0,16.143444975393745,0.9491860870865353
0.40000000000000013,-1.0,0.20000000000000018,16.14345109778793,0.9491860870865353
0.40000000000000013,-1.0,0.40000000000000013,16.14345716089867,0.9491860870865353
0.40000000000000013,-1.0,0.6000000000000001,16.143463164359144,0.9491860870865353
0.40000000000000013,-1.0,0.8,16.14346910780487,0.9491860870865353
